sentence,category
1386 insurance,Finance
club Rs.6760,Entertainment
bill 19716,Utilities
hutch Rs.8518,Utilities
39710 tax,Finance
රෑ කෑම salli 32189,Food
බෙහෙත් වලට Rs.93,Health
2977 parking,Transport
22120 coffee,Food
hoppers salli 41572,Food
meat salli 48919,Shopping
19543 clothes,Shopping
clinic salli 26165,Health
42121 credit card,Finance
42448 pen and paper,Education
liquor 8950,Entertainment
tshirt salli 16575,Shopping
watch salli 26372,Shopping
game 35414,Entertainment
16729 beach,Entertainment
pharmacy Rs.39888,Health
28662 කඩෙන් කෑවා,Food
3160 postpaid,Utilities
mobitel salli 45687,Utilities
cargills 31636,Shopping
perfume salli 3340,Personal Care
47613 clothes,Shopping
makeup 4112,Personal Care
general salli 19795,Other
8558 recharge,Utilities
41100 alms,Gifts & Charity
pin 24069,Gifts & Charity
charity 36426,Gifts & Charity
hoppers Rs.14407,Food
dansal Rs.45745,Gifts & Charity
stock Rs.16179,Finance
garbage fee 555,Utilities
alms 750,Gifts & Charity
30982 book,Education
37752 pocket money,Other
online course salli 3693,Education
present 42229,Gifts & Charity
10615 fuel,Transport
uber Rs.17694,Transport
2412 අතමාරුව,Finance
vegetables Rs.31222,Shopping
tuk 9763,Transport
short eats Rs.31193,Food
අතමාරු ගත්තා Rs.35210,Finance
47616 pen and paper,Education
religious 11983,Gifts & Charity
නිකම්ම 747,Other
skincare Rs.31521,Personal Care
outing salli 15231,Entertainment
meat salli 9969,Shopping
22817 pickme,Transport
channeling Rs.18169,Health
22789 course,Education
shoppin salli 25074,Shopping
බත් 14265,Food
unknown 27008,Other
කඩෙන් කෑවා 44093,Food
pickme food 15662,Food
medical test 42597,Health
15710 කෝච්චියට,Transport
11695 season,Transport
unknown 11498,Other
3170 grocery,Shopping
7028 milk powder,Shopping
electricity salli 40111,Utilities
34250 coursera,Education
soap salli 7976,Personal Care
ubereats 46650,Food
soap 10875,Personal Care
6487 කෑම,Food
41072 pen and paper,Education
අතින් ගියා Rs.43503,Other
බනිස් salli 13586,Food
dhal Rs.1089,Shopping
poth Rs.7371,Education
කෝච්චියට Rs.36489,Transport
fitness salli 23596,Health
hair cut 38584,Personal Care
අතමාරුව Rs.26616,Finance
46795 trip,Entertainment
රෑ කෑම Rs.26413,Food
37289 misc,Other
අතමාරුව Rs.6791,Finance
6832 watch,Shopping
clothes salli 20770,Shopping
මේකප් Rs.33871,Personal Care
pickme Rs.41266,Transport
vacation Rs.11148,Entertainment
තෑගි Rs.16750,Gifts & Charity
12781 fuel,Transport
6431 leasing,Finance
අතමාරු ගත්තා 47375,Finance
cool drink Rs.37285,Food
postpaid Rs.15356,Utilities
trip 11357,Entertainment
netflix 37397,Entertainment
season Rs.46646,Transport
biscuit 30387,Food
ත්‍රීවීල් Rs.46191,Transport
water bill Rs.11246,Utilities
dhal 47522,Shopping
540 coursera,Education
43132 perfume,Personal Care
rice bag salli 28621,Shopping
gas Rs.40621,Utilities
rice salli 22684,Food
dhal 49084,Shopping
slt bill Rs.34044,Utilities
watch Rs.12945,Shopping
loan Rs.3334,Finance
phone bill Rs.19363,Utilities
coursera 45720,Education
11142 දානය,Gifts & Charity
beauty Rs.38655,Personal Care
auto Rs.13255,Transport
trip salli 30013,Entertainment
facewash 23358,Personal Care
අතින් ගියා salli 45834,Other
25848 burger,Food
වතුර බිල 28300,Utilities
49584 panthi,Education
8484 අතමාරු ගත්තා,Finance
insurance salli 14569,Finance
පෙට්‍රල් 33620,Transport
home rent Rs.37511,Utilities
body lotion salli 36964,Personal Care
gas Rs.38608,Utilities
ticket salli 17276,Transport
27432 credit card,Finance
library 47284,Education
pocket money Rs.40445,Other
21835 dental,Health
kitchen items Rs.12823,Shopping
makeup Rs.31931,Personal Care
supermarket 23275,Shopping
ඉන්ෂුවරන්ස් 38088,Finance
prepaid Rs.48377,Utilities
interest 2102,Finance
short eats 8369,Food
daraz salli 31629,Shopping
class fee salli 6725,Education
hutch Rs.48715,Utilities
recharge 32172,Utilities
සැලෝන් එකට salli 8016,Personal Care
බඩු ගත්තා 27267,Shopping
clinic salli 7125,Health
34752 vegetables,Shopping
4965 operation,Health
mobitel Rs.20201,Utilities
supermarket Rs.35686,Shopping
14827 leasing,Finance
parking Rs.41863,Transport
donation salli 49013,Gifts & Charity
channeling Rs.1993,Health
postpaid Rs.34661,Utilities
27072 stationary,Education
season 32660,Transport
biscuit salli 21075,Food
ඩොක්ටර්ට salli 15012,Health
other Rs.38101,Other
pin 4412,Gifts & Charity
other Rs.20274,Other
gaming salli 9789,Entertainment
15655 alms,Gifts & Charity
43881 gift,Gifts & Charity
pocket money salli 15273,Other
වෙනත් salli 5715,Other
present salli 4186,Gifts & Charity
supermarket salli 2434,Shopping
pen and paper Rs.18053,Education
9534 restaurant,Food
විනෝදෙට Rs.4551,Entertainment
loan 29465,Finance
stationary 544,Education
35380 tshirt,Shopping
credit card salli 26377,Finance
වෙනත් 4239,Other
salon salli 8391,Personal Care
wifi 46226,Utilities
facewash salli 3355,Personal Care
dental 42246,Health
don't know 44079,Other
ආධාර Rs.38573,Gifts & Charity
47853 gaming,Entertainment
helping 20698,Gifts & Charity
garbage fee Rs.2962,Utilities
donation Rs.48375,Gifts & Charity
leasing Rs.37915,Finance
vitamin Rs.47668,Health
නිකම්ම 10297,Other
furniture Rs.20279,Shopping
අතමාරුව Rs.47816,Finance
pocket money salli 25612,Other
නිකම්ම 27268,Other
වෙනත් salli 13314,Other
cash salli 43417,Other
vitamin 46904,Health
rice Rs.15264,Food
ෆාමසි 12961,Health
22078 gaming,Entertainment
33651 show,Entertainment
pickme food 9952,Food
trip Rs.46572,Entertainment
මේකප් 23899,Personal Care
beauty 49205,Personal Care
crypto salli 40641,Finance
library Rs.26630,Education
cash 42395,Other
offer salli 3644,Gifts & Charity
පෑන් පැන්සල් Rs.41261,Education
8514 කෝච්චියට,Transport
pin 1759,Gifts & Charity
outing Rs.13976,Entertainment
විභාග ගාස්තු Rs.6517,Education
ලෝන් එකට salli 11250,Finance
ඉන්ෂුවරන්ස් salli 15550,Finance
general salli 19327,Other
donation 8428,Gifts & Charity
36312 නයි පියවන්න,Finance
perfume Rs.18387,Personal Care
14058 cash,Other
2244 concert,Entertainment
bakery salli 35401,Food
shoppin Rs.205,Shopping
22056 ubereats,Food
fuel Rs.17061,Transport
dansal salli 19138,Gifts & Charity
payment 41040,Finance
cargills Rs.13165,Shopping
බඩු ගත්තා Rs.22787,Shopping
22061 beauty,Personal Care
lost Rs.38383,Other
youtube premium Rs.30773,Entertainment
ආධාර salli 19645,Gifts & Charity
46856 furniture,Shopping
bus Rs.7124,Transport
18660 stock,Finance
arpico salli 46953,Shopping
46499 පන්ති ගාස්තු,Education
28886 facewash,Personal Care
41493 වෙනත්,Other
පෑන් පැන්සල් salli 33643,Education
stock 34560,Finance
pocket money salli 37729,Other
47340 data,Utilities
insurance Rs.40347,Finance
25905 online course,Education
crypto Rs.19650,Finance
watch salli 29413,Shopping
ticket salli 35432,Transport
exam fee salli 13069,Education
wade Rs.2389,Food
prepaid salli 8301,Utilities
payment Rs.37250,Finance
match ticket 9695,Entertainment
නිකම්ම Rs.49842,Other
bike service salli 35855,Transport
35200 අතින් ගියා,Other
බර්ත්ඩේ 46821,Gifts & Charity
අතමාරු ගත්තා 39122,Finance
9981 shaving,Personal Care
panadol Rs.34574,Health
water bill Rs.49665,Utilities
බඩු ගත්තා 49819,Shopping
breakfast 15908,Food
concert salli 49708,Entertainment
car wash salli 16153,Transport
8087 threewheel,Transport
36428 kitchen items,Shopping
salon Rs.17521,Personal Care
online course 44700,Education
netflix Rs.9627,Entertainment
අතින් ගියා 30353,Other
body lotion 27348,Personal Care
data salli 18671,Utilities
30707 ඉන්ෂුවරන්ස්,Finance
30545 exam fee,Education
loan salli 10459,Finance
channeling Rs.3058,Health
library salli 16130,Education
4280 ෆාමසි,Health
ayurvedic 19535,Health
milk powder salli 43037,Shopping
religious 5415,Gifts & Charity
කඩෙන් කෑවා salli 35018,Food
4256 stationary,Education
ණය Rs.17492,Finance
vehicle repair salli 4238,Transport
cool drink salli 10528,Food
38328 ලෝන් එකට,Finance
9923 coffee,Food
salon 21096,Personal Care
බත් 6109,Food
pin salli 16822,Gifts & Charity
hutch 39971,Utilities
cool drink Rs.48973,Food
workshop salli 709,Education
gift Rs.1528,Gifts & Charity
වෙනත් Rs.48188,Other
පන්ති ගාස්තු salli 31263,Education
19408 taxi,Transport
facewash 45519,Personal Care
skincare salli 13293,Personal Care
garbage fee Rs.49212,Utilities
ඩිසල් Rs.45373,Transport
exam fee salli 19049,Education
3443 degree,Education
exam fee 2928,Education
channeling salli 20705,Health
3314 finance,Finance
streaming Rs.5314,Entertainment
41210 transport cost,Transport
බනිස් 10105,Food
facewash 47614,Personal Care
ෆිල්ම් salli 28324,Entertainment
24724 pants,Shopping
තේ බොන්න Rs.6216,Food
ආධාර Rs.29532,Gifts & Charity
dansal salli 24735,Gifts & Charity
කෝස් එකට Rs.19951,Education
doctor 23315,Health
leasing Rs.9163,Finance
cargills Rs.31990,Shopping
gift Rs.42854,Gifts & Charity
cool drink Rs.42819,Food
3513 gas,Utilities
49780 ගෑස්,Utilities
40266 clinic,Health
fiber Rs.28765,Utilities
13342 බනිස්,Food
health insurance salli 33808,Health
සෙල්ලම් කරන්න salli 43809,Entertainment
33862 වතුර බිල,Utilities
lunch salli 27830,Food
university 11288,Education
data 27903,Utilities
කොණ්ඩය කැපුවා salli 42701,Personal Care
gas Rs.20770,Utilities
offer Rs.28645,Gifts & Charity
wedding Rs.46284,Gifts & Charity
pin 30054,Gifts & Charity
netflix Rs.14406,Entertainment
shaving 11065,Personal Care
4145 stock,Finance
11447 නිකම්ම,Other
පෙට්‍රල් Rs.13928,Transport
youtube premium 12226,Entertainment
helping 33985,Gifts & Charity
නයි පියවන්න salli 35596,Finance
අතින් ගියා Rs.22077,Other
breakfast 9560,Food
religious 45490,Gifts & Charity
කෝස් එකට 48114,Education
22990 bag,Shopping
offer 20679,Gifts & Charity
gift salli 596,Gifts & Charity
university 15144,Education
14788 degree,Education
අතමාරුව Rs.49716,Finance
පින් වලට Rs.34718,Gifts & Charity
18114 tax,Finance
44650 vacation,Entertainment
14760 taxi,Transport
43794 kottu,Food
ඩොක්ටර්ට Rs.49142,Health
25345 විනෝදෙට,Entertainment
39011 charity,Gifts & Charity
current bill 9962,Utilities
physio 34175,Health
channeling salli 39850,Health
shaving Rs.12488,Personal Care
dental 7834,Health
meat 45423,Shopping
තෙල් salli 36400,Transport
රෑ කෑම 1349,Food
cinema 38783,Entertainment
auto Rs.44321,Transport
misc salli 21766,Other
club salli 40489,Entertainment
petrol 20417,Transport
milk powder Rs.35129,Shopping
movie 39025,Entertainment
hospital 7947,Health
11305 soap,Shopping
offer Rs.33962,Gifts & Charity
show Rs.27852,Entertainment
kema 18398,Food
meat salli 46216,Shopping
36354 කෝස් එකට,Education
bag 38309,Shopping
1066 soap,Shopping
general 4249,Other
misc Rs.12268,Other
10666 සැලෝන් එකට,Personal Care
udemy salli 37327,Education
clinic Rs.44958,Health
general salli 28151,Other
48953 shoes,Shopping
23096 burger,Food
lost Rs.45212,Other
degree salli 27180,Education
game 13873,Entertainment
unknown salli 5279,Other
donation 27982,Gifts & Charity
liquor Rs.35763,Entertainment
37692 grocery,Shopping
නයි පියවන්න salli 45182,Finance
pharmacy 23847,Health
19032 offer,Gifts & Charity
library salli 12128,Education
misc salli 12885,Other
ආධාර salli 2221,Gifts & Charity
cargills Rs.11762,Shopping
kewa salli 12605,Food
investment Rs.40648,Finance
1771 channeling,Health
short eats 36256,Food
48589 donation,Gifts & Charity
university salli 22975,Education
leasing 47167,Finance
නිකම්ම 3670,Other
6537 milk powder,Shopping
kewa 38441,Food
internet salli 26152,Utilities
4941 lab,Health
6284 poth,Education
10070 බත්,Food
තෑගි Rs.48944,Gifts & Charity
pants Rs.24164,Shopping
පන්ති ගාස්තු Rs.40621,Education
breakfast salli 15812,Food
කොණ්ඩය කැපුවා 6655,Personal Care
crypto 24883,Finance
දානය salli 3719,Gifts & Charity
medical test 46887,Health
lunch salli 16344,Food
සැලෝන් එකට salli 28024,Personal Care
ගෑස් 18581,Utilities
lost Rs.4713,Other
outing Rs.31290,Entertainment
29298 internet,Utilities
බර්ත්ඩේ 23498,Gifts & Charity
tax 30305,Finance
snacks Rs.17841,Food
wifi salli 5854,Utilities
milk powder salli 48938,Shopping
credit card salli 16644,Finance
වතුර බිල salli 36090,Utilities
skincare Rs.49973,Personal Care
meat Rs.23350,Shopping
11168 fitness,Health
bakery 1407,Food
පෙට්‍රල් salli 47339,Transport
credit card Rs.4368,Finance
45735 taxi,Transport
ආධාර 12425,Gifts & Charity
kewa Rs.7932,Food
office go 42261,Transport
shoppin Rs.27824,Shopping
28682 hair color,Personal Care
netflix 6334,Entertainment
soap 29047,Shopping
විනෝදෙට Rs.41087,Entertainment
burger salli 27868,Food
investment Rs.15680,Finance
wedding Rs.35738,Gifts & Charity
vitamin salli 18527,Health
slt bill 3040,Utilities
insurance 29790,Finance
leasing 36684,Finance
pocket money Rs.7008,Other
coursera 45919,Education
hutch salli 42041,Utilities
arpico salli 26922,Shopping
fish Rs.35440,Shopping
car wash Rs.5617,Transport
pin Rs.46988,Gifts & Charity
bill 4528,Utilities
42715 crypto,Finance
හොස්පිට්ල් salli 6832,Health
7661 බත්,Food
17827 නයි පියවන්න,Finance
43714 salon,Personal Care
class fee 28487,Education
fitness salli 42323,Health
dansal Rs.24044,Gifts & Charity
car wash 11813,Transport
hoppers salli 41072,Food
tea salli 21939,Food
body lotion Rs.23795,Personal Care
මුදල් 12174,Other
මුදල් Rs.18119,Other
gaming 6040,Entertainment
fuel Rs.20671,Transport
බර්ත්ඩේ Rs.34606,Gifts & Charity
physio Rs.9200,Health
internet Rs.16716,Utilities
birthday Rs.12167,Gifts & Charity
බර්ත්ඩේ salli 23048,Gifts & Charity
helping 48136,Gifts & Charity
චැනලින් 34440,Health
stationary 31410,Education
degree Rs.49518,Education
snacks 21675,Food
41082 movie,Entertainment
highway toll salli 9294,Transport
loan salli 5219,Finance
30485 බඩු ගත්තා,Shopping
makeup 2282,Personal Care
පන්ති ගාස්තු salli 4380,Education
coursera 20573,Education
religious 44538,Gifts & Charity
44092 perfume,Personal Care
pants Rs.18268,Shopping
don't know salli 29713,Other
නිකම්ම 6296,Other
book 34660,Education
689 බඩු ගත්තා,Shopping
data salli 21180,Utilities
කෝස් එකට salli 6128,Education
restaurant Rs.485,Food
ආධාර 42805,Gifts & Charity
stock 24193,Finance
12182 vitamin,Health
bank fee Rs.7269,Finance
medicine Rs.41818,Health
අතමාරු ගත්තා Rs.41338,Finance
11402 vehicle repair,Transport
sugar Rs.31454,Shopping
dentist 26808,Health
සැලෝන් එකට Rs.23299,Personal Care
cargills Rs.39424,Shopping
215 stock,Finance
334 car wash,Transport
finance salli 39088,Finance
විභාග ගාස්තු Rs.17418,Education
40838 cinema,Entertainment
skincare Rs.3692,Personal Care
workshop 26594,Education
47805 රීලෝඩ්,Utilities
25073 keells,Shopping
පින් වලට salli 7446,Gifts & Charity
coursera salli 18913,Education
present Rs.37724,Gifts & Charity
loan Rs.12402,Finance
vacation 38384,Entertainment
insurance Rs.33277,Finance
wedding 28532,Gifts & Charity
pickme 46045,Transport
fiber salli 45219,Utilities
kitchen items 5194,Shopping
book 27304,Education
pin 35706,Gifts & Charity
clinic salli 43001,Health
pants Rs.22195,Shopping
28088 tuk,Transport
poth Rs.37536,Education
29590 misc,Other
3438 facewash,Personal Care
beauty salli 16934,Personal Care
threewheel salli 42471,Transport
panthi salli 40419,Education
22154 misc,Other
34256 donation,Gifts & Charity
3493 phone bill,Utilities
32529 අතමාරු ගත්තා,Finance
recharge 46926,Utilities
bank fee 23562,Finance
game 27231,Entertainment
unknown 14878,Other
4263 pants,Shopping
wedding salli 38005,Gifts & Charity
42147 taxi,Transport
45639 විනෝදෙට,Entertainment
19782 hospital,Health
පින් වලට Rs.17494,Gifts & Charity
8851 stock,Finance
16667 hutch,Utilities
course Rs.32271,Education
office go Rs.43325,Transport
interest Rs.8509,Finance
online course salli 17505,Education
බෙහෙත් වලට Rs.35342,Health
5710 alms,Gifts & Charity
35947 charity,Gifts & Charity
tire change 260,Transport
physio Rs.20528,Health
spa Rs.1543,Personal Care
degree Rs.18575,Education
විභාග ගාස්තු 48386,Education
තේ බොන්න salli 11420,Food
internet Rs.45293,Utilities
dansal salli 21648,Gifts & Charity
crypto 6032,Finance
general salli 45904,Other
charity salli 32862,Gifts & Charity
threewheel 26115,Transport
7213 ayurvedic,Health
10737 දවල් කෑමට,Food
spotify 26928,Entertainment
slt bill salli 35724,Utilities
1572 පින් වලට,Gifts & Charity
4908 recharge,Utilities
19685 water bill,Utilities
47843 කොත්තු,Food
clinic salli 26169,Health
birthday 14896,Gifts & Charity
concert 13078,Entertainment
health insurance 5082,Health
netflix 7683,Entertainment
43541 කොණ්ඩය කැපුවා,Personal Care
credit card Rs.98,Finance
අතින් ගියා salli 49584,Other
keells salli 27797,Shopping
බඩු ගත්තා salli 46438,Shopping
44033 වෙනත්,Other
donation 34930,Gifts & Charity
electricity 21081,Utilities
34481 බෙහෙත් වලට,Health
22768 wade,Food
4414 vitamin,Health
body lotion 13614,Personal Care
සපත්තු salli 23385,Shopping
movie 23017,Entertainment
අතින් ගියා 26348,Other
hair cut 44473,Personal Care
vitamin salli 972,Health
ලයිට් බිල salli 44028,Utilities
tire change Rs.37120,Transport
ayurvedic 11277,Health
game Rs.16273,Entertainment
beer 17908,Entertainment
helping Rs.43151,Gifts & Charity
pickme food salli 27574,Food
soap salli 8910,Shopping
beer Rs.17167,Entertainment
university salli 1524,Education
27362 operation,Health
unknown salli 5457,Other
32556 ආධාර,Gifts & Charity
33531 skincare,Personal Care
732 channeling,Health
ayurvedic 49903,Health
stationary salli 11523,Education
dhal salli 43458,Shopping
bike service salli 32260,Transport
diesel 26922,Transport
insurance 10274,Finance
shampoo salli 49032,Shopping
beheth salli 44951,Health
helping Rs.24285,Gifts & Charity
doctor Rs.17502,Health
trimming salli 20542,Personal Care
33777 car wash,Transport
46563 tire change,Transport
class fee 34296,Education
13654 degree,Education
කෝස් එකට 29933,Education
කොණ්ඩය කැපුවා Rs.30392,Personal Care
6796 කෑම,Food
20532 youtube premium,Entertainment
class fee 37371,Education
සැලෝන් එකට salli 23078,Personal Care
misc 27132,Other
liquor 48066,Entertainment
medical test salli 38196,Health
crypto 24567,Finance
28135 beach,Entertainment
පෑන් පැන්සල් 8375,Education
rice bag salli 30212,Shopping
birthday 17498,Gifts & Charity
investment 20855,Finance
gym salli 38465,Personal Care
supermarket Rs.34951,Shopping
tax salli 34586,Finance
7329 loan,Finance
panthi salli 25752,Education
body lotion salli 12139,Personal Care
medicine 27167,Health
spent 48492,Other
class fee 39803,Education
24975 lost,Other
47378 dhal,Shopping
pen and paper salli 13276,Education
charity salli 31168,Gifts & Charity
soap salli 40859,Personal Care
tuition 28542,Education
කෝස් එකට Rs.13394,Education
gas 37004,Utilities
vacation salli 1023,Entertainment
leasing salli 48811,Finance
trimming 21151,Personal Care
barber salli 14397,Personal Care
මුදල් salli 46840,Other
investment Rs.42926,Finance
lost Rs.45436,Other
streaming 23214,Entertainment
8083 පන්ති ගාස්තු,Education
course Rs.44252,Education
34062 ෆිල්ම්,Entertainment
phone bill 10764,Utilities
gym salli 43631,Personal Care
streaming Rs.48767,Entertainment
දානය 20377,Gifts & Charity
helping Rs.17112,Gifts & Charity
train salli 49617,Transport
hotel bill salli 10282,Food
බත් Rs.1876,Food
34994 dental,Health
අතින් ගියා salli 26023,Other
spent 16064,Other
soap salli 11090,Personal Care
tax salli 46020,Finance
192 pin,Gifts & Charity
medicine 37188,Health
operation Rs.21025,Health
කොත්තු 32094,Food
බත් Rs.30133,Food
පොත් වලට salli 49427,Education
wifi salli 10084,Utilities
threewheel Rs.29227,Transport
40998 මේකප්,Personal Care
මුදල් salli 29546,Other
soap salli 33586,Personal Care
fare salli 15572,Transport
bank fee salli 14511,Finance
49066 spa,Personal Care
37948 daraz,Shopping
lab Rs.48807,Health
gift Rs.30097,Gifts & Charity
27959 crypto,Finance
general salli 4481,Other
bike service 22707,Transport
dentist salli 45805,Health
16417 book,Education
present salli 16388,Gifts & Charity
පොත් වලට salli 44296,Education
4259 bike service,Transport
gaming Rs.29712,Entertainment
දානය salli 48403,Gifts & Charity
youtube premium Rs.18286,Entertainment
facewash salli 6324,Personal Care
25659 don't know,Other
medicine salli 6454,Health
bill 47429,Utilities
hair color Rs.35734,Personal Care
7567 short eats,Food
spent 45980,Other
19561 facewash,Personal Care
46572 insurance,Finance
watch Rs.5766,Shopping
pickme food salli 24355,Food
party salli 25431,Entertainment
7502 concert,Entertainment
මුදල් Rs.4135,Other
fuel Rs.47244,Transport
39090 රෑ කෑම,Food
ට්‍රිප් Rs.24061,Entertainment
supermarket 26248,Shopping
grocery 28481,Shopping
bank fee salli 23893,Finance
11588 tshirt,Shopping
donation salli 45480,Gifts & Charity
electricity salli 11103,Utilities
dialog 31702,Utilities
48399 beauty,Personal Care
1573 drink,Food
short eats salli 49512,Food
pocket money 41067,Other
offer 2671,Gifts & Charity
42817 spa,Personal Care
workshop Rs.34917,Education
27711 wedding,Gifts & Charity
fitness Rs.13612,Health
insurance Rs.26158,Finance
spa Rs.42282,Personal Care
9869 skincare,Personal Care
රෑ කෑම 45723,Food
ත්‍රීවීල් Rs.28113,Transport
street food 4456,Food
ඩිසල් salli 2529,Transport
clinic salli 46435,Health
liquor salli 28092,Entertainment
netflix 34238,Entertainment
hair color 27634,Personal Care
tire change 42122,Transport
panadol salli 27021,Health
15922 වෙනත්,Other
loan 20149,Finance
විභාග ගාස්තු salli 16276,Education
salon 3491,Personal Care
ලයිට් බිල 6292,Utilities
spotify 3437,Entertainment
ඩිසල් Rs.15295,Transport
supermarket 25091,Shopping
alms 32529,Gifts & Charity
general 13184,Other
cinema Rs.37918,Entertainment
රෑ කෑම salli 25085,Food
pants 16179,Shopping
water bill Rs.49141,Utilities
gaming salli 11841,Entertainment
tire change salli 17958,Transport
spa salli 19264,Personal Care
14150 body lotion,Personal Care
leasing Rs.37958,Finance
pharmacy Rs.31993,Health
pocket money Rs.42829,Other
diesel 30334,Transport
7947 alms,Gifts & Charity
29575 hair color,Personal Care
48130 street food,Food
broadband Rs.16620,Utilities
පෑන් පැන්සල් Rs.8631,Education
ලයිට් බිල salli 49936,Utilities
ticket 9040,Transport
17456 streaming,Entertainment
keells salli 31086,Shopping
3820 හොස්පිට්ල්,Health
මුදල් 2605,Other
29637 show,Entertainment
fuel 14701,Transport
බිල් එකට 20229,Utilities
vegetables 11337,Shopping
body lotion 32689,Personal Care
vitamin 26585,Health
beauty Rs.35404,Personal Care
gift Rs.5672,Gifts & Charity
අතමාරුව salli 32384,Finance
dhal Rs.46799,Shopping
youtube premium salli 46056,Entertainment
helping salli 24466,Gifts & Charity
6600 interest,Finance
coursera Rs.25465,Education
donation salli 40263,Gifts & Charity
arpico Rs.44240,Shopping
31925 විනෝදෙට,Entertainment
barber salli 40943,Personal Care
religious Rs.17053,Gifts & Charity
taxi salli 30648,Transport
පොත් වලට 47104,Education
tax salli 884,Finance
payment salli 22380,Finance
misc Rs.7770,Other
බනිස් 48179,Food
38741 ඩොක්ටර්ට,Health
present Rs.14395,Gifts & Charity
exam fee salli 35684,Education
dinner Rs.30397,Food
pharmacy 753,Health
37941 payment,Finance
49626 මේකප්,Personal Care
short eats 23591,Food
kottu 46043,Food
40532 finance,Finance
outing Rs.17911,Entertainment
gift Rs.1889,Gifts & Charity
26198 බර්ත්ඩේ,Gifts & Charity
39035 religious,Gifts & Charity
42853 concert,Entertainment
offer 20538,Gifts & Charity
නිකම්ම 9582,Other
ජිම් එකට salli 33038,Personal Care
prepaid 12334,Utilities
train salli 15783,Transport
season 24994,Transport
නිකම්ම 18039,Other
spent 44856,Other
kitchen items salli 25641,Shopping
24570 lost,Other
dhal Rs.41143,Shopping
facewash 26811,Personal Care
loan Rs.17150,Finance
milk powder salli 17478,Shopping
26063 vacation,Entertainment
25421 bag,Shopping
7418 gym,Personal Care
crypto 32287,Finance
spent salli 43746,Other
panthi Rs.18478,Education
hutch 39522,Utilities
cash 11397,Other
gift Rs.48926,Gifts & Charity
poth Rs.36902,Education
25969 data,Utilities
current bill 27329,Utilities
season 11534,Transport
422 doctor,Health
14907 කෝච්චියට,Transport
dansal salli 38019,Gifts & Charity
panthi salli 39547,Education
parking Rs.6600,Transport
tax 33362,Finance
16067 class fee,Education
show Rs.36257,Entertainment
5606 සැලෝන් එකට,Personal Care
ආධාර 30241,Gifts & Charity
fuel 39527,Transport
48720 gym,Personal Care
bag 45312,Shopping
සෙල්ලම් කරන්න salli 35181,Entertainment
72 vitamin,Health
don't know salli 30725,Other
spent Rs.35356,Other
vehicle repair 30949,Transport
hutch salli 16283,Utilities
medical test salli 20764,Health
makeup salli 30098,Personal Care
පෙට්‍රල් Rs.12147,Transport
crypto 35776,Finance
gas 37705,Utilities
පෑන් පැන්සල් 26023,Education
helping Rs.7339,Gifts & Charity
tuition 23618,Education
shaving salli 33831,Personal Care
අතමාරු ගත්තා 15194,Finance
vegetables Rs.34462,Shopping
soap Rs.10493,Personal Care
hair cut 33625,Personal Care
phone bill 5973,Utilities
pickme food salli 16695,Food
bank fee salli 47416,Finance
library salli 31004,Education
don't know 49578,Other
අතමාරු ගත්තා 42841,Finance
physio salli 25515,Health
32428 දානය,Gifts & Charity
tuition 11032,Education
beach salli 2962,Entertainment
කෝච්චියට Rs.38496,Transport
train Rs.21630,Transport
48392 පින් වලට,Gifts & Charity
soap Rs.1475,Personal Care
class fee Rs.31438,Education
45037 netflix,Entertainment
pin 46124,Gifts & Charity
don't know Rs.22600,Other
මුදල් 12584,Other
crypto Rs.42598,Finance
21953 pants,Shopping
health insurance Rs.40548,Health
35237 degree,Education
shoes 19324,Shopping
present salli 40285,Gifts & Charity
investment 3053,Finance
සෙල්ලම් කරන්න Rs.25456,Entertainment
kottu salli 682,Food
train Rs.45729,Transport
5233 fitness,Health
41616 ලයිට් බිල,Utilities
76 coursera,Education
car wash Rs.14189,Transport
restaurant Rs.1084,Food
poth 4168,Education
ලෝන් එකට Rs.10731,Finance
season 28281,Transport
සපත්තු 42791,Shopping
show 42717,Entertainment
41936 burger,Food
pants salli 44225,Shopping
don't know Rs.23346,Other
class fee salli 4952,Education
petrol Rs.42144,Transport
පන්ති ගාස්තු Rs.44560,Education
vegetables 3094,Shopping
cargills Rs.4240,Shopping
shampoo Rs.2655,Shopping
42118 wade,Food
hoppers 5703,Food
helping salli 41908,Gifts & Charity
insurance 31829,Finance
32261 මුදල්,Other
bakery 16840,Food
milk powder Rs.15796,Shopping
පින් වලට salli 28047,Gifts & Charity
threewheel Rs.30702,Transport
තෑගි 25806,Gifts & Charity
donation salli 36671,Gifts & Charity
33452 pharmacy,Health
15103 milk powder,Shopping
club salli 28054,Entertainment
1897 wedding,Gifts & Charity
threewheel 47289,Transport
25616 short eats,Food
crypto Rs.19064,Finance
පෑන් පැන්සල් salli 27678,Education
පින් වලට salli 34790,Gifts & Charity
රීලෝඩ් 41023,Utilities
26065 tax,Finance
book salli 29504,Education
wade 33654,Food
33906 data,Utilities
20024 match ticket,Entertainment
මේකප් salli 20479,Personal Care
body lotion Rs.16677,Personal Care
15974 health insurance,Health
33341 pickme food,Food
වතුර බිල Rs.28473,Utilities
බර්ත්ඩේ Rs.38729,Gifts & Charity
trip Rs.2706,Entertainment
bank fee Rs.46699,Finance
27115 ගෑස්,Utilities
offer 34330,Gifts & Charity
shaving Rs.32727,Personal Care
මුදල් Rs.49330,Other
